FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
9036|Outlet Neck|Ridge|AZ|04|Apache|001|355453N|1090303W|35.9147338|-109.0509282|||||2193|7195|Buell Park|02/08/1980|
27306|Carrizo Wash|Valley|AZ|04|Apache|001|343620N|1092608W|34.6055892|-109.4356594|343700N|1084656W|34.6167093|-108.7822994|1693|5554|Zion Reservoir|02/08/1980|
401|Aguaje Draw|Valley|AZ|04|Apache|001|343417N|1091313W|34.5714281|-109.2203696|344308N|1085826W|34.7188|-108.9739|1750|5741|Kearn Lake|02/08/1980|01/14/2008
1500|Black Creek|Stream|AZ|04|Apache|001|351600N|1091402W|35.2666917|-109.2339842|355455N|1090150W|35.9152895|-109.0306499|1829|6001|Houck|02/08/1980|
26530|Blue River|Stream|AZ|04|Greenlee|011|331233N|1091130W|33.2092294|-109.1917374|334311N|1090242W|33.719776|-109.0450718|1188|3898|Dix Creek|02/08/1980|
8950|Old Horseshoe Canyon|Valley|AZ|04|Cochise|003|322402N|1090248W|32.4006337|-109.0467247|322325N|1090408W|32.3902778|-109.0688889|1404|4606|Engine Mountain|02/08/1980|
25468|Conner Draw|Valley|AZ|04|Apache|001|335615N|1090113W|33.9375517|-109.020353|335710N|1090207W|33.9527778|-109.0352778|2582|8471|Escudilla Mountain|10/01/1992|
1261|Falling Iron Cliffs|Cliff|AZ|04|Apache|001|360947N|1090304W|36.1630617|-109.0512077|||||2730|8957|Upper Wheatfields|02/08/1980|
13210|Venadito Draw|Valley|AZ|04|Apache|001|345139N|1090331W|34.860869|-109.0586992|345032N|1084610W|34.8422606|-108.7695243|1835|6020|Ceadro Spring SE|02/08/1980|
32527|One Horn Canyon|Valley|AZ|04|Greenlee|011|331644N|1090218W|33.2789515|-109.0384002|331825N|1090323W|33.3069444|-109.0563889|1561|5121|Maple Peak|02/08/1980|
34817|Steeple Canyon|Valley|AZ|04|Greenlee|011|333637N|1090630W|33.610333|-109.1084063|333434N|1090203W|33.5761111|-109.0341667|1753|5751|Blue|02/08/1980|
34011|San Francisco River|Stream|AZ|04|Greenlee|011|325834N|1092219W|32.9761743|-109.3720169|335302N|1091149W|33.8839402|-109.1970237|1006|3300|Guthrie|02/08/1980|
6259|Iron Canyon|Valley|AZ|04|Greenlee|011|325249N|1090442W|32.8803462|-109.0783974|325216N|1085925W|32.8711807|-108.9903399|1335|4380|Tillie Hall Peak|02/08/1980|
26855|Buchanan Canyon|Valley|AZ|04|Greenlee|011|332045N|1085949W|33.3458945|-108.9970109|332027N|1090514W|33.340894|-109.0872915|1727|5666|Glenwood|02/08/1980|
6362|Jaralosa Draw|Valley|AZ|04|Apache|001|344747N|1091048W|34.7964247|-109.1800926|343812N|1083252W|34.6367109|-108.5478478|1775|5823|Ceadro Spring|02/08/1980|
5416|Guadalupe Canyon|Valley|AZ|04|Cochise|003|311957N|1090519W|31.3325|-109.0886111|312808N|1090221W|31.4688889|-109.0391667|1272|4173|Guadalupe Canyon|02/08/1980|08/20/2009
13714|Whitewater Arroyo|Valley|AZ|04|Apache|001|351707N|1090816W|35.2853025|-109.1378703|352306N|1083627W|35.385026|-108.6075798|1840|6037|Houck|02/08/1980|
12079|Sycamore Creek|Stream|AZ|04|Cochise|003|312633N|1090803W|31.442602|-109.1342241|312654N|1090231W|31.4484359|-109.0419993|1337|4386|Million Dollar Tank|02/08/1980|
30720|Keller Canyon|Valley|NM|35|Catron|003|332442N|1085530W|33.4117269|-108.9250655|332854N|1090421W|33.4817241|-109.0725707|1493|4898|Alma|02/08/1980|12/13/2010
10858|San Simon Valley|Valley|AZ|04|Graham|009|324806N|1093758W|32.8017327|-109.6328555|313936N|1091659W|31.66|-109.2830556|909|2982|Safford|02/08/1980|09/24/2009
25663|Antelope Creek|Stream|AZ|04|Greenlee|011|331051N|1090259W|33.1808974|-109.0497884|331046N|1085927W|33.179509|-108.9908978|1619|5312|Harden Cienega|02/08/1980|
3334|Cottonwood Creek|Stream|AZ|04|Cochise|003|312143N|1091539W|31.3619444|-109.2608333|313056N|1090305W|31.5156564|-109.0514448|1153|3783|San Bernardino Ranch|02/08/1980|08/21/2009
3516|Coyote Wash|Stream|AZ|04|Greenlee|011|323755N|1090230W|32.6320183|-109.0417271|323257N|1090700W|32.5492413|-109.1167268|1238|4062|Duncan|02/08/1980|
36430|Yam Canyon|Valley|AZ|04|Greenlee|011|332905N|1090504W|33.4847794|-109.0845157|333022N|1090243W|33.5061681|-109.0453479|1914|6279|Alma Mesa|02/08/1980|
34588|Snare Canyon|Valley|NM|35|Catron|003|332217N|1085907W|33.3714496|-108.9853443|332010N|1090547W|33.3361719|-109.0964584|1625|5331|Glenwood|02/08/1980|12/13/2010
30578|Johnson Canyon|Valley|AZ|04|Greenlee|011|333806N|1090541W|33.6350549|-109.094795|334158N|1085807W|33.6994988|-108.9686806|1774|5820|Maness Peak|02/08/1980|
12398|Thompson Draw|Valley|AZ|04|Greenlee|011|323706N|1090323W|32.6184072|-109.0564493|323622N|1085648W|32.606187|-108.9467252|1179|3868|Round Mountain|02/08/1980|
5971|Horse Mesa Creek|Stream|AZ|04|Apache|001|364121N|1090221W|36.6891668|-109.0392641|364540N|1090848W|36.7611109|-109.1467674|1664|5459|Horse Mesa|02/08/1980|
3520|Coyote Wash|Stream|AZ|04|Apache|001|360632N|1090946W|36.1088952|-109.1628769|360452N|1090856W|36.0811111|-109.1488889|2158|7080|White Clay|02/08/1980|
34867|Stone Creek|Stream|AZ|04|Apache|001|334955N|1090142W|33.831997|-109.0284067|335437N|1090459W|33.9103294|-109.0831321|2264|7428|Luna Lake|02/08/1980|
22057|Geronimo Trail|Trail|AZ|04|Cochise|003|312058N|1093032W|31.349547|-109.5089551|||||1261|4137|Douglas|06/27/1984|
26990|Bullard Canyon|Valley|AZ|04|Greenlee|011|331542N|1090247W|33.2617297|-109.0464557|331919N|1090545W|33.3219444|-109.0958333|1400|4593|Maple Peak|02/08/1980|
27265|Canovas Creek|Stream|AZ|04|Apache|001|340332N|1090258W|34.0589386|-109.0495224|335941N|1090006W|33.9947734|-109.0017426|2289|7510|Loco Knoll|02/08/1980|
3798|Deer Creek|Stream|AZ|04|Cochise|003|314116N|1090617W|31.6877778|-109.1047222|313712N|1090208W|31.6200989|-109.0356122|1325|4347|Skull Canyon|02/08/1980|08/21/2009
8984|Olney Well Draw|Valley|AZ|04|Greenlee|011|323225N|1090221W|32.5403537|-109.0392256|323031N|1090538W|32.5086111|-109.0938889|1230|4035|Round Mountain|02/08/1980|
9045|Owl Creek|Stream|AZ|04|Cochise|003|313953N|1090414W|31.6647222|-109.0705556|313932N|1090023W|31.6588889|-109.0063889|1375|4511|Skull Canyon|02/08/1980|08/25/2009
26361|Bitter Creek|Stream|AZ|04|Greenlee|011|325015N|1091101W|32.8375678|-109.183677|325318N|1085720W|32.8884029|-108.9556169|1079|3540|Sheldon|02/08/1980|
32612|Pace Creek|Stream|AZ|04|Apache|001|334455N|1090106W|33.7486646|-109.0184047|334829N|1090334W|33.8081083|-109.0595182|2020|6627|Maness Peak|02/08/1980|
